,dataset,cleaned,round,model,testAccuracy
463,DHFR,no,8,GCN-A,0.7309210526315788
464,DHFR,no,8,GCN-B,0.7697368421052632
465,DHFR,no,9,DK,0.6842105263157895
466,DHFR,no,9,uGCN,0.7302631578947368
467,DHFR,no,9,Mix,0.7302631578947368
468,DHFR,no,9,GCN-A,0.6782894736842107
469,DHFR,no,9,GCN-B,0.7302631578947368
470,DHFR,no,10,DK,0.743421052631579
471,DHFR,no,10,uGCN,0.8026315789473685
472,DHFR,no,10,Mix,0.8092105263157895
473,DHFR,no,10,GCN-A,0.7618421052631579
474,DHFR,no,10,GCN-B,0.7960526315789473
475,DHFR,no,11,DK,0.6842105263157895
476,DHFR,no,11,uGCN,0.743421052631579
477,DHFR,no,11,Mix,0.7368421052631579
478,DHFR,no,11,GCN-A,0.7
479,DHFR,no,11,GCN-B,0.7763157894736842
480,MUTAG,yes,0,DK,0.7407407407407407
481,MUTAG,yes,0,uGCN,0.8518518518518519
482,MUTAG,yes,0,Mix,0.8518518518518519
483,MUTAG,yes,0,GCN-A,0.7777777777777778
484,MUTAG,yes,0,GCN-B,0.8518518518518519
485,MUTAG,yes,1,DK,0.6666666666666666
486,MUTAG,yes,1,uGCN,0.8888888888888888
487,MUTAG,yes,1,Mix,0.7407407407407407
488,MUTAG,yes,1,GCN-A,0.6888888888888889
489,MUTAG,yes,1,GCN-B,0.7407407407407407
490,MUTAG,yes,2,DK,0.7407407407407407
491,MUTAG,yes,2,uGCN,0.8148148148148148
492,MUTAG,yes,2,Mix,0.8148148148148148
493,MUTAG,yes,2,GCN-A,0.7851851851851851
494,MUTAG,yes,2,GCN-B,0.8518518518518519
495,MUTAG,yes,3,DK,0.8148148148148148
496,MUTAG,yes,3,uGCN,0.8148148148148148
497,MUTAG,yes,3,Mix,0.8518518518518519
498,MUTAG,yes,3,GCN-A,0.7222222222222223
499,MUTAG,yes,3,GCN-B,0.8148148148148148
500,MUTAG,yes,4,DK,0.7777777777777778
501,MUTAG,yes,4,uGCN,0.8148148148148148
502,MUTAG,yes,4,Mix,0.8518518518518519
503,MUTAG,yes,4,GCN-A,0.7259259259259259
504,MUTAG,yes,4,GCN-B,0.7407407407407407
505,MUTAG,yes,5,DK,0.8518518518518519
506,MUTAG,yes,5,uGCN,0.8518518518518519
507,MUTAG,yes,5,Mix,0.8888888888888888
508,MUTAG,yes,5,GCN-A,0.8518518518518519
509,MUTAG,yes,5,GCN-B,0.9259259259259259
510,MUTAG,yes,6,DK,0.7777777777777778
511,MUTAG,yes,6,uGCN,0.7777777777777778
512,MUTAG,yes,6,Mix,0.8518518518518519
513,MUTAG,yes,6,GCN-A,0.7666666666666667
514,MUTAG,yes,6,GCN-B,0.8518518518518519
515,MUTAG,yes,7,DK,0.8518518518518519
516,MUTAG,yes,7,uGCN,0.8518518518518519
517,MUTAG,yes,7,Mix,0.8518518518518519
518,MUTAG,yes,7,GCN-A,0.937037037037037
519,MUTAG,yes,7,GCN-B,1.0
520,MUTAG,yes,8,DK,0.7777777777777778
521,MUTAG,yes,8,uGCN,0.7037037037037037
522,MUTAG,yes,8,Mix,0.7777777777777778
523,MUTAG,yes,8,GCN-A,0.7296296296296296
524,MUTAG,yes,8,GCN-B,0.8148148148148148
525,MUTAG,yes,9,DK,0.8888888888888888
526,MUTAG,yes,9,uGCN,0.8518518518518519
527,MUTAG,yes,9,Mix,0.8888888888888888
528,MUTAG,yes,9,GCN-A,0.8407407407407407
529,MUTAG,yes,9,GCN-B,0.8888888888888888
530,MUTAG,yes,10,DK,0.8518518518518519
531,MUTAG,yes,10,uGCN,0.8888888888888888
532,MUTAG,yes,10,Mix,0.9259259259259259
533,MUTAG,yes,10,GCN-A,0.8481481481481481
534,MUTAG,yes,10,GCN-B,0.8518518518518519
535,MUTAG,yes,11,DK,0.8888888888888888
536,MUTAG,yes,11,uGCN,0.8888888888888888
537,MUTAG,yes,11,Mix,0.9259259259259259
538,MUTAG,yes,11,GCN-A,0.762962962962963
539,MUTAG,yes,11,GCN-B,0.8518518518518519
540,MUTAG,no,0,DK,0.7631578947368421
541,MUTAG,no,0,uGCN,0.6842105263157895
542,MUTAG,no,0,Mix,0.7631578947368421
543,MUTAG,no,0,GCN-A,0.6973684210526316
544,MUTAG,no,0,GCN-B,0.7368421052631579
545,MUTAG,no,1,DK,0.8947368421052632
546,MUTAG,no,1,uGCN,0.7368421052631579
547,MUTAG,no,1,Mix,0.8157894736842105
548,MUTAG,no,1,GCN-A,0.7026315789473684
549,MUTAG,no,1,GCN-B,0.7368421052631579
550,MUTAG,no,2,DK,0.8421052631578947
551,MUTAG,no,2,uGCN,0.8421052631578947
552,MUTAG,no,2,Mix,0.868421052631579
553,MUTAG,no,2,GCN-A,0.7526315789473685
554,MUTAG,no,2,GCN-B,0.7894736842105263
555,MUTAG,no,3,DK,0.7894736842105263
556,MUTAG,no,3,uGCN,0.7894736842105263
557,MUTAG,no,3,Mix,0.8421052631578947
558,MUTAG,no,3,GCN-A,0.7921052631578948
559,MUTAG,no,3,GCN-B,0.8421052631578947
560,MUTAG,no,4,DK,0.7631578947368421
561,MUTAG,no,4,uGCN,0.7631578947368421
562,MUTAG,no,4,Mix,0.868421052631579
563,MUTAG,no,4,GCN-A,0.6842105263157895
564,MUTAG,no,4,GCN-B,0.7894736842105263
565,MUTAG,no,5,DK,0.8421052631578947
566,MUTAG,no,5,uGCN,0.868421052631579
567,MUTAG,no,5,Mix,0.8947368421052632
568,MUTAG,no,5,GCN-A,0.7263157894736842
569,MUTAG,no,5,GCN-B,0.7894736842105263
